salary,teamsal,nl,years,games,atbats,runs,hits,doubles,triples,hruns,rbis,bavg,bb,so,sbases,fldperc,frstbase,scndbase,shrtstop,thrdbase,outfield,catcher,yrsallst,hispan,black,whitepop,blackpop,hisppop,pcinc,gamesyr,hrunsyr,atbatsyr,allstar,slugavg,rbisyr,sbasesyr,runsyr,percwhte,percblck,perchisp,blckpb,hispph,whtepw,blckph,hisppb,lsalary
2000000,18297546,1,2,45,66,7,12,1,0,1,4,182,10,22,0,1000,1,0,0,0,0,0,0,1,0,2438598,591440,1061846,15682,22.5,.5,33,0,24.242424,2,0,3.5,59.59597,14.453978,25.950052,0,25.950052,0,0,14.453978,14.508657
1250000,18297546,1,4,442,1617,230,419,69,22,35,209,259,122,383,46,973,0,0,0,0,1,0,0,1,0,2438598,591440,1061846,15682,110.5,8.75,404.25,0,39.39394,52.25,11.5,57.5,59.59597,14.453978,25.950052,0,25.950052,0,0,14.453978,14.038654
825000,18297546,1,6,528,1608,178,395,60,7,8,130,246,159,203,32,970,0,0,1,0,0,0,2,0,0,2438598,591440,1061846,15682,88,1.3333334,268,33.333332,30.659204,21.666666,5.3333335,29.666666,59.59597,14.453978,25.950052,0,0,59.59597,0,0,13.623138
750000,18297546,1,7,701,2088,275,610,110,11,21,254,292,347,248,5,989,0,0,0,1,0,0,0,0,0,2438598,591440,1061846,15682,100.14286,3,298.28571,0,38.553638,36.285713,.71428573,39.285713,59.59597,14.453978,25.950052,0,0,59.59597,0,0,13.527828
200000,18297546,1,5,478,1348,155,351,69,9,26,123,260,112,218,59,972,0,0,0,0,1,0,0,0,1,2438598,591440,1061846,15682,95.599998,5.1999998,269.60001,0,38.278931,24.6,11.8,31,59.59597,14.453978,25.950052,14.453978,0,0,25.950052,0,12.206073
190000,18297546,1,2,168,421,42,114,23,2,3,42,271,67,84,9,957,0,1,0,0,0,0,0,0,0,2438598,591440,1061846,15682,84,1.5,210.5,0,35.629456,21,4.5,21,59.59597,14.453978,25.950052,0,0,59.59597,0,0,12.154779
138000,18297546,1,3,109,330,19,71,10,1,8,33,215,23,61,0,987,0,0,0,0,0,1,0,0,0,2438598,591440,1061846,15682,36.333332,2.6666667,110,0,32.424244,11,0,6.3333335,59.59597,14.453978,25.950052,0,0,59.59597,0,0,11.835009
136000,18297546,1,2,86,197,19,44,8,1,4,27,223,24,62,0,1000,0,0,0,0,1,0,0,0,0,2438598,591440,1061846,15682,43,2,98.5,0,33.502537,13.5,0,9.5,59.59597,14.453978,25.950052,0,0,59.59597,0,0,11.82041
125000,18297546,1,2,37,111,13,28,7,2,0,11,252,10,28,0,992,0,0,0,0,1,0,0,0,0,2438598,591440,1061846,15682,18.5,0,55.5,0,35.135136,5.5,0,6.5,59.59597,14.453978,25.950052,0,0,59.59597,0,0,11.736069
123000,18297546,1,1,32,99,14,29,6,0,0,7,293,11,13,0,967,0,0,0,0,1,0,0,0,1,2438598,591440,1061846,15682,32,0,99,0,35.353535,7,0,14,59.59597,14.453978,25.950052,14.453978,0,0,25.950052,0,11.719939
123000,18297546,1,3,38,77,9,16,3,0,0,4,208,9,10,12,1000,0,0,0,0,1,0,0,0,1,2438598,591440,1061846,15682,12.666667,0,25.666666,0,24.675325,1.3333334,4,3,59.59597,14.453978,25.950052,14.453978,0,0,25.950052,0,11.719939
3000000,14671833,1,4,433,1481,207,409,79,9,58,212,276,137,324,54,990,0,0,0,0,1,0,1,0,0,,38645,,17889,108.25,14.5,370.25,25,45.914921,53,13.5,51.75,,,,,,,,,14.914123
1537500,14671833,1,3,415,1592,234,433,62,18,21,152,272,215,355,144,972,0,1,0,0,0,0,0,0,1,,38645,,17889,138.33333,7,530.66669,0,37.311558,50.666668,48,78,,,,,,,,,14.245668
1500000,14671833,1,4,431,1573,230,422,78,17,24,136,268,115,231,177,983,0,0,0,0,1,0,0,0,0,,38645,,17889,107.75,6,393.25,0,38.525112,34,44.25,57.5,,,,,,,,,14.220976
210000,14671833,1,2,131,361,57,100,28,3,9,56,277,25,49,16,979,0,0,0,0,1,0,0,0,1,,38645,,17889,65.5,4.5,180.5,0,44.598339,28,8,28.5,,,,,,,,,12.254863
170000,14671833,1,4,145,389,22,92,19,2,4,41,237,21,49,0,994,0,0,0,0,0,1,0,0,0,,38645,,17889,36.25,1,97.25,0,32.647816,10.25,0,5.5,,,,,,,,,12.043553
142500,14671833,1,2,126,274,25,64,12,3,5,28,234,25,54,3,987,0,0,0,0,1,0,0,0,0,,38645,,17889,63,2.5,137,0,35.401459,14,1.5,12.5,,,,,,,,,11.867097
126500,14671833,1,1,45,126,17,38,4,1,2,8,302,9,31,0,947,0,0,1,0,0,0,0,1,0,,38645,,17889,45,2,126,0,39.682541,8,0,17,,,,,,,,,11.747997
117500,14671833,1,2,34,83,5,15,2,0,1,4,181,8,26,0,957,0,0,0,0,1,0,0,0,0,,38645,,17889,17,.5,41.5,0,24.096386,2,0,2.5,,,,,,,,,11.674193
115000,14671833,1,1,37,74,7,14,5,0,3,14,189,9,18,1,986,0,0,0,0,0,1,0,0,0,,38645,,17889,37,3,74,0,37.837837,14,1,7,,,,,,,,,11.652687
6200000,38553668,1,7,1046,3732,572,1040,224,37,135,596,279,463,570,32,958,0,0,0,0,1,0,4,0,1,12699119,3289465,2777951,19683,149.42857,19.285715,533.14288,57.142857,46.704182,85.14286,4.5714288,81.714287,67.668961,17.528357,14.802685,17.528357,0,0,14.802685,0,15.640059
3375000,38553668,1,16,2444,9124,1343,2646,462,32,414,1562,290,1147,1224,90,993,1,0,0,0,0,0,8,0,1,12699119,3289465,2777951,19683,152.75,25.875,570.25,50,48.377903,97.625,5.625,83.9375,67.668961,17.528357,14.802685,17.528357,0,0,14.802685,0,15.031906
2312500,38553668,1,8,1021,4042,648,1071,124,62,18,255,265,380,716,610,974,0,0,0,0,1,0,2,0,1,12699119,3289465,2777951,19683,127.625,2.25,505.25,25,33.968334,31.875,76.25,81,67.668961,17.528357,14.802685,17.528357,0,0,14.802685,0,14.65384
2300000,38553668,1,10,1328,5132,675,1465,251,70,48,479,285,396,480,181,980,0,0,1,0,0,0,4,1,0,12699119,3289465,2777951,19683,132.8,4.8000002,513.20001,40,38.971161,47.900002,18.1,67.5,67.668961,17.528357,14.802685,0,14.802685,0,0,17.528357,14.648419
2150000,38553668,1,11,1279,4309,672,1092,225,17,204,672,252.99998,576,1891,213,939,0,0,0,1,0,0,2,0,0,12699119,3289465,2777951,19683,116.27273,18.545454,391.72726,18.181818,45.555813,61.090908,19.363636,61.090908,67.668961,17.528357,14.802685,0,0,67.668961,0,0,14.580978
650000,38553668,1,9,930,2935,384,817,131,29,37,265,278,221,266,82,985,0,0,0,0,1,0,0,0,0,12699119,3289465,2777951,19683,103.33334,4.1111112,326.11111,0,38.057922,29.444445,9.1111107,42.666668,67.668961,17.528357,14.802685,0,0,67.668961,0,0,13.384727
635000,38553668,1,10,411,1004,133,251,30,6,12,96,250,95,183,60,959,0,0,0,1,0,0,0,0,1,12699119,3289465,2777951,19683,41.099998,1.2,100.4,0,32.768925,9.6000004,6,13.3,67.668961,17.528357,14.802685,17.528357,0,0,14.802685,0,13.361381
500000,38553668,1,7,339,889,87,182,48,3,12,92,205,87,11,0,988,0,0,0,0,0,1,0,0,0,12699119,3289465,2777951,19683,48.42857,1.7142857,127,0,30.596176,13.142858,0,12.428572,67.668961,17.528357,14.802685,0,0,67.668961,0,0,13.122363
475000,38553668,1,6,533,1555,199,422,70,8,8,136,271,127,195,19,993,0,0,0,0,1,0,0,0,0,12699119,3289465,2777951,19683,88.833336,1.3333334,259.16666,0,34.212219,22.666666,3.1666667,33.166668,67.668961,17.528357,14.802685,0,0,67.668961,0,0,13.07107
195000,38553668,1,3,180,485,45,97,23,1,8,41,200,31,108,3,995,0,0,0,0,0,1,0,0,0,12699119,3289465,2777951,19683,60,2.6666667,161.66667,0,30.103092,13.666667,1,15,67.668961,17.528357,14.802685,0,0,67.668961,0,0,12.180755
109000,38553668,1,1,30,108,15,24,7,1,3,10,222,8,24,2,988,0,0,0,0,1,0,0,0,1,12699119,3289465,2777951,19683,30,3,108,0,38.888889,10,2,15,67.668961,17.528357,14.802685,17.528357,0,0,14.802685,0,11.599103
2466667,27037334,1,8,931,3219,533,916,190,28,52,283,285,384,342,220,989,0,0,0,0,1,0,1,0,0,4540541,1100347,225868,18431,116.375,6.5,402.375,12.5,40.944393,35.375,27.5,66.625,77.394409,18.755629,3.8499641,0,0,77.394409,0,0,14.718378
2450000,27037334,1,7,930,2946,434,875,142,29,79,446,297,473,530,48,994,1,0,0,0,0,0,2,0,0,4540541,1100347,225868,18431,132.85715,11.285714,420.85715,28.571428,44.534962,63.714287,6.8571429,62,77.394409,18.755629,3.8499641,0,0,77.394409,0,0,14.711598
2416667,27037334,1,9,706,2114,263,492,105,9,75,309,233,341,441,32,986,0,0,0,0,0,1,1,0,0,4540541,1100347,225868,18431,78.444443,8.333333,234.88889,11.111111,39.7351,34.333332,3.5555556,29.222221,77.394409,18.755629,3.8499641,0,0,77.394409,0,0,14.6979
2000000,27037334,1,7,788,2830,368,722,123,27,53,253,255,146,536,147,959,0,0,0,0,1,0,0,1,0,4540541,1100347,225868,18431,112.57143,7.5714288,404.28571,0,37.385159,36.142857,21,52.57143,77.394409,18.755629,3.8499641,0,3.8499641,0,0,18.755629,14.508657
1375000,27037334,1,9,980,2982,398,838,124,35,37,258,281,251,498,191,981,0,0,0,0,1,0,0,0,1,4540541,1100347,225868,18431,108.88889,4.1111112,331.33334,0,38.329979,28.666666,21.222221,44.222221,77.394409,18.755629,3.8499641,18.755629,0,0,3.8499641,0,14.133965
1050000,27037334,1,7,904,3135,402,772,154,15,146,470,246,280,979,29,964,0,0,0,0,1,0,0,0,0,4540541,1100347,225868,18431,129.14285,20.857143,447.85715,0,44.46571,67.14286,4.1428571,57.42857,77.394409,18.755629,3.8499641,0,0,77.394409,0,0,13.864301
1000000,27037334,1,5,500,1697,207,477,98,7,41,245,281,62,233,10,993,1,0,0,0,0,0,0,0,1,4540541,1100347,225868,18431,100,8.1999998,339.39999,0,41.956394,49,2,41.400002,77.394409,18.755629,3.8499641,18.755629,0,0,3.8499641,0,13.815511
600000,27037334,1,9,698,2144,251,594,121,23,25,237,277,150,228,67,987,0,0,0,0,1,0,0,0,0,4540541,1100347,225868,18431,77.555557,2.7777777,238.22223,0,38.992538,26.333334,7.4444447,27.888889,77.394409,18.755629,3.8499641,0,0,77.394409,0,0,13.304685
600000,27037334,1,3,284,851,136,224,38,6,38,129,263,103,164,10,950,0,0,0,1,0,0,0,0,0,4540541,1100347,225868,18431,94.666664,12.666667,283.66666,0,45.593418,43,3.3333333,45.333332,77.394409,18.755629,3.8499641,0,0,77.394409,0,0,13.304685
300000,27037334,1,3,250,826,94,212,23,12,5,53,257,60,128,24,988,0,1,0,0,0,0,0,0,0,4540541,1100347,225868,18431,83.333336,1.6666666,275.33334,0,33.171913,17.666666,8,31.333334,77.394409,18.755629,3.8499641,0,0,77.394409,0,0,12.611538
250000,27037334,1,3,195,704,86,176,37,3,24,95,250,42,137,17,978,0,0,0,0,1,0,0,0,1,4540541,1100347,225868,18431,65,8,234.66667,0,41.335228,31.666666,5.6666665,28.666666,77.394409,18.755629,3.8499641,18.755629,0,0,3.8499641,0,12.429216
150000,27037334,1,4,159,362,41,66,12,3,2,23,182,26,82,6,972,0,0,1,0,0,0,0,1,0,4540541,1100347,225868,18431,39.75,.5,90.5,0,24.861879,5.75,1.5,10.25,77.394409,18.755629,3.8499641,0,3.8499641,0,0,18.755629,11.91839
122500,27037334,1,2,54,163,11,34,4,0,1,11,209,5,26,0,930,0,0,1,0,0,0,0,0,1,4540541,1100347,225868,18431,27,.5,81.5,0,25.153374,5.5,0,5.5,77.394409,18.755629,3.8499641,18.755629,0,0,3.8499641,0,11.715866
4950000,22987668,1,10,1390,4737,720,1308,251,82,144,688,276,558,895,220,986,0,0,0,0,1,0,2,0,0,2041897,178857,12852,20207,139,14.4,473.70001,20,45.492928,68.800003,22,72,91.417061,8.0075445,.57539243,0,0,91.417061,0,0,15.414898
2600000,22987668,1,7,669,2444,349,627,125,26,39,239,257,222,445,38,968,0,0,1,0,0,0,0,0,0,2041897,178857,12852,20207,95.571426,5.5714288,349.14285,0,37.684124,34.142857,5.4285712,49.857143,91.417061,8.0075445,.57539243,0,0,91.417061,0,0,14.771022
2350000,22987668,1,9,736,2134,166,574,97,5,16,243,269,288,200,5,992,0,0,0,0,0,1,0,0,0,2041897,178857,12852,20207,81.777779,1.7777778,237.11111,0,34.161201,27,.55555558,18.444445,91.417061,8.0075445,.57539243,0,0,91.417061,0,0,14.669926
1066667,22987668,1,11,1004,3071,320,859,193,26,59,351,280,219,438,16,985,0,0,0,0,0,1,0,0,0,2041897,178857,12852,20207,91.272728,5.3636365,279.18182,0,41.712795,31.90909,1.4545455,29.09091,91.417061,8.0075445,.57539243,0,0,91.417061,0,0,13.88005
1000000,22987668,1,15,1475,4888,853,1414,264,54,90,504,289,561,779,360,964,0,0,0,0,1,0,1,0,1,2041897,178857,12852,20207,98.333336,6,325.86667,6.6666665,42.062195,33.599998,24,56.866665,91.417061,8.0075445,.57539243,8.0075445,0,0,.57539243,0,13.815511
675000,22987668,1,4,365,1175,149,270,52,7,37,155,230,82,155,14,975,0,0,0,1,0,0,0,0,0,2041897,178857,12852,20207,91.25,9.25,293.75,0,38.042553,38.75,3.5,37.25,91.417061,8.0075445,.57539243,0,0,91.417061,0,0,13.422468
675000,22987668,1,6,431,931,120,232,39,2,29,123,249,116,137,15,983,0,0,0,0,1,0,0,0,1,2041897,178857,12852,20207,71.833336,4.8333335,155.16667,0,38.882923,20.5,2.5,20,91.417061,8.0075445,.57539243,8.0075445,0,0,.57539243,0,13.422468
360000,22987668,1,10,952,2367,215,578,114,19,26,224,244,206,339,31,976,0,0,1,0,0,0,0,0,0,2041897,178857,12852,20207,95.199997,2.5999999,236.7,0,34.136036,22.4,3.0999999,21.5,91.417061,8.0075445,.57539243,0,0,91.417061,0,0,12.793859
305000,22987668,1,3,279,840,136,218,46,7,16,110,260,117,153,13,991,1,0,0,0,0,0,0,1,0,2041897,178857,12852,20207,93,5.3333335,280,0,38.809525,36.666668,4.3333335,45.333332,91.417061,8.0075445,.57539243,0,.57539243,0,0,8.0075445,12.628067
120000,22987668,1,3,38,67,7,16,1,2,0,5,239,1,19,0,969,0,0,1,0,0,0,0,1,0,2041897,178857,12852,20207,12.666667,0,22.333334,0,31.343283,1.6666666,0,2.3333333,91.417061,8.0075445,.57539243,0,.57539243,0,0,8.0075445,11.695247
112000,22987668,1,2,92,229,26,58,13,0,0,11,252.99998,19,39,6,961,0,0,0,1,0,0,0,0,0,2041897,178857,12852,20207,46,0,114.5,0,31.004366,5.5,3,13,91.417061,8.0075445,.57539243,0,0,91.417061,0,0,11.626254
109000,22987668,1,1,12,12,1,2,0,1,0,2,167,0,5,0,1000,0,0,0,0,1,0,0,0,1,2041897,178857,12852,20207,12,0,12,0,33.333332,2,0,1,91.417061,8.0075445,.57539243,8.0075445,0,0,.57539243,0,11.599103
109000,22987668,1,1,10,7,2,4,0,0,0,4,571,2,0,1,800,0,0,0,1,0,0,0,0,1,2041897,178857,12852,20207,10,0,7,0,57.142857,4,1,2,91.417061,8.0075445,.57539243,8.0075445,0,0,.57539243,0,11.599103
3897184,23387518,1,15,2208,8087,1079,2108,347,57,22,681,261,949,524,542,979,0,0,1,0,0,0,12,0,1,1985500,423182,26014,18595,147.2,1.4666667,539.13336,80,32.583157,45.400002,36.133335,71.933334,81.550224,17.381308,1.0684701,17.381308,0,0,1.0684701,0,15.175765
2650000,23387518,1,6,617,2317,312,644,132,12,52,280,278,183,163,82,964,0,0,0,1,0,0,0,0,0,1985500,423182,26014,18595,102.83334,8.666667,386.16666,0,41.26025,46.666668,13.666667,52,81.550224,17.381308,1.0684701,0,0,81.550224,0,0,14.790071
2575000,23387518,1,6,508,1487,119,379,77,8,13,151,255,99,228,13,993,0,0,0,0,0,1,1,0,0,1985500,423182,26014,18595,84.666664,2.1666667,247.83333,16.666666,34.364491,25.166666,2.1666667,19.833334,81.550224,17.381308,1.0684701,0,0,81.550224,0,0,14.76136
2050000,23387518,1,9,1001,2780,288,726,94,19,12,224,261,380,331,33,983,0,1,0,0,0,0,0,1,0,1985500,423182,26014,18595,111.22222,1.3333334,308.88889,0,32.158272,24.888889,3.6666667,32,81.550224,17.381308,1.0684701,0,1.0684701,0,0,17.381308,14.53335
1025000,23387518,1,4,453,1581,196,413,82,11,34,194,261,206,255,26,966,0,0,0,1,0,0,0,0,0,1985500,423182,26014,18595,113.25,8.5,395.25,0,39.152435,48.5,6.5,49,81.550224,17.381308,1.0684701,0,0,81.550224,0,0,13.840203
966667,23387518,1,10,972,2890,346,761,134,11,52,357,263,289,327,140,987,1,0,0,0,0,0,0,0,1,1985500,423182,26014,18595,97.199997,5.1999998,289,0,37.128029,35.700001,14,34.599998,81.550224,17.381308,1.0684701,17.381308,0,0,1.0684701,0,13.78161
508333,23387518,1,3,297,1003,131,252,38,12,20,95,250.99998,139,259,34,979,0,0,0,0,1,0,0,0,1,1985500,423182,26014,18595,99,6.6666665,334.33334,0,37.288136,31.666666,11.333333,43.666668,81.550224,17.381308,1.0684701,17.381308,0,0,1.0684701,0,13.138892
290000,23387518,1,3,343,1290,182,353,73,22,32,167,274,126,288,94,990,0,0,0,0,1,0,0,0,1,1985500,423182,26014,18595,114.33334,10.666667,430,0,43.875969,55.666668,31.333334,60.666668,81.550224,17.381308,1.0684701,17.381308,0,0,1.0684701,0,12.577636
225000,23387518,1,3,174,418,46,101,20,2,22,63,242,36,81,1,983,0,0,0,0,0,1,0,1,0,1985500,423182,26014,18595,58,7.3333335,139.33333,0,45.693779,21,.33333334,15.333333,81.550224,17.381308,1.0684701,0,1.0684701,0,0,17.381308,12.323855
175000,23387518,1,3,230,716,95,193,31,8,13,66,270,86,90,38,982,0,0,0,0,1,0,0,0,1,1985500,423182,26014,18595,76.666664,4.3333335,238.66667,0,38.96648,22,12.666667,31.666666,81.550224,17.381308,1.0684701,17.381308,0,0,1.0684701,0,12.072541
170000,23387518,1,3,184,433,74,118,22,4,12,50,273,46,96,29,981,0,1,0,0,0,0,0,1,0,1985500,423182,26014,18595,61.333332,4,144.33333,0,42.494225,16.666666,9.666667,24.666666,81.550224,17.381308,1.0684701,0,1.0684701,0,0,17.381308,12.043553
160000,23387518,1,3,234,630,51,141,22,15,3,56,224,60,91,3,976,0,1,0,0,0,0,0,1,0,1985500,423182,26014,18595,78,1,210,0,32.063492,18.666666,1,17,81.550224,17.381308,1.0684701,0,1.0684701,0,0,17.381308,11.982929
3700000,37792000,1,6,701,2586,402,670,131,23,111,363,259,233,483,131,967,0,0,0,0,1,0,1,0,1,202017,736153,57169,15559,116.83334,18.5,431,16.666666,45.630318,60.5,21.833334,67,20.296301,73.96003,5.7436714,73.96003,0,0,5.7436714,0,15.123843
2815000,37792000,1,10,869,1996,381,513,53,10,6,123,257,208,264,305,987,0,0,0,0,1,0,0,0,1,202017,736153,57169,15559,86.900002,.60000002,199.60001,0,30.260521,12.3,30.5,38.099998,20.296301,73.96003,5.7436714,73.96003,0,0,5.7436714,0,14.850472
2250000,37792000,1,9,1240,4659,596,1274,228,33,87,633,273,332,567,114,958,0,0,0,1,0,0,1,0,1,202017,736153,57169,15559,137.77777,9.666667,517.66669,11.111111,39.257351,70.333336,12.666667,66.222221,20.296301,73.96003,5.7436714,73.96003,0,0,5.7436714,0,14.626441
2000000,37792000,1,6,578,1769,237,464,90,15,49,207,262,194,357,25,959,0,0,1,0,0,0,0,0,0,202017,736153,57169,15559,96.333336,8.166667,294.83334,0,41.322781,34.5,4.1666665,39.5,20.296301,73.96003,5.7436714,0,0,20.296301,0,0,14.508657
1775000,37792000,1,4,396,1370,228,369,70,8,71,240,269,215,267,23,976,0,0,0,0,1,0,0,0,1,202017,736153,57169,15559,99,17.75,342.5,0,48.759125,60,5.75,57,20.296301,73.96003,5.7436714,73.96003,0,0,5.7436714,0,14.389311
1600000,37792000,1,10,925,2770,311,726,172,11,81,413,262,306,398,43,991,1,0,0,0,0,0,0,0,0,202017,736153,57169,15559,92.5,8.1000004,277,0,41.985561,41.299999,4.3000002,31.1,20.296301,73.96003,5.7436714,0,0,20.296301,0,0,14.285514
1000000,37792000,1,4,222,593,101,145,11,18,17,57,245,46,110,46,974,0,0,0,0,1,0,0,0,1,202017,736153,57169,15559,55.5,4.25,148.25,0,40.978077,14.25,11.5,25.25,20.296301,73.96003,5.7436714,73.96003,0,0,5.7436714,0,13.815511
975000,37792000,1,6,379,1191,98,281,60,2,28,146,236,69,238,3,985,0,0,0,0,0,1,0,0,0,202017,736153,57169,15559,63.166668,4.6666665,198.5,0,36.020149,24.333334,.5,16.333334,20.296301,73.96003,5.7436714,0,0,20.296301,0,0,13.790193
925000,37792000,1,4,331,1013,109,250,51,3,16,107,247,108,130,4,994,0,0,0,0,0,1,1,0,0,202017,736153,57169,15559,82.75,4,253.25,25,35.044422,26.75,1,27.25,20.296301,73.96003,5.7436714,0,0,20.296301,0,0,13.737549
800000,37792000,1,11,777,1689,171,377,31,12,1,113,223,121,274,34,973,0,0,1,0,0,0,0,1,0,202017,736153,57169,15559,70.63636,.090909094,153.54546,0,25.754885,10.272727,3.090909,15.545455,20.296301,73.96003,5.7436714,0,5.7436714,0,0,73.96003,13.592367
675000,37792000,1,7,562,1353,195,336,65,10,20,127,248,142,195,50,979,0,0,0,1,0,0,0,0,0,202017,736153,57169,15559,80.285713,2.8571429,193.28572,0,35.550629,18.142857,7.1428571,27.857143,20.296301,73.96003,5.7436714,0,0,20.296301,0,0,13.422468
550000,37792000,1,5,423,1048,108,237,37,7,10,82,226,109,100,1,982,0,1,0,0,0,0,0,0,0,202017,736153,57169,15559,84.599998,2,209.60001,0,30.343512,16.4,.2,21.6,20.296301,73.96003,5.7436714,0,0,20.296301,0,0,13.217673
205000,37792000,1,2,199,509,66,125,29,3,26,91,246,38,98,1,991,1,0,0,0,0,0,0,0,0,202017,736153,57169,15559,99.5,13,254.5,0,46.75835,45.5,.5,33,20.296301,73.96003,5.7436714,0,0,20.296301,0,0,12.230765
181500,37792000,1,4,126,268,24,69,14,1,13,51,257,13,48,2,985,0,0,0,0,0,1,0,1,0,202017,736153,57169,15559,31.5,3.25,67,0,46.268658,12.75,.5,6,20.296301,73.96003,5.7436714,0,5.7436714,0,0,73.96003,12.109011
5700000,42668168,1,7,835,3122,478,924,150,30,70,368,296,273,291,148,973,0,0,1,0,0,0,4,0,1,1521061,203067,9376,17998,119.28571,10,446,57.142857,43.049328,52.57143,21.142857,68.285713,87.744881,11.714251,.54086983,11.714251,0,0,.54086983,0,15.555977
3900000,42668168,1,6,636,2091,378,626,103,22,20,158,299,218,266,151,972,0,0,0,0,1,0,1,0,1,1521061,203067,9376,17998,106,3.3333333,348.5,16.666666,39.837399,26.333334,25.166666,63,87.744881,11.714251,.54086983,11.714251,0,0,.54086983,0,15.176487
3750000,42668168,1,8,900,3109,469,859,162,20,171,548,276,352,542,26,963,0,0,0,0,1,0,2,0,1,1521061,203067,9376,17998,112.5,21.375,388.625,25,50.627213,68.5,3.25,58.625,87.744881,11.714251,.54086983,11.714251,0,0,.54086983,0,15.137266
3133333,42668168,1,6,638,2277,320,637,110,12,56,258,280,168,1440,151,984,0,0,0,0,1,0,1,0,1,1521061,203067,9376,17998,106.33334,9.333333,379.5,16.666666,41.238472,43,25.166666,53.333332,87.744881,11.714251,.54086983,11.714251,0,0,.54086983,0,14.957608
