female,phsrank,BA,AA,black,hispanic,id,exper,jc,univ,lwage,stotal,smcity,medcity,submed,lgcity,sublg,vlgcity,subvlg,ne,nc,south,totcoll
1,41,1,0,1,0,591,136,0,4.1999941,2.4952457,-1.1739522,0,1,0,0,0,0,0,0,0,0,4.1999941
1,0,0,0,0,0,596,21,0,0,1.6379564,-1.3798841,0,0,0,1,0,0,0,0,0,0,0
1,83,0,0,0,0,600,113,0,0,1.8486185,-.25869909,0,0,1,0,0,0,0,1,0,0,0
1,85,1,0,0,0,616,111,0,6.1999998,2.3513753,.88536727,0,0,1,0,0,0,0,1,0,0,6.1999998
0,82,1,0,0,0,626,143,0,4,1.4916549,.47350341,0,0,0,0,0,0,0,1,0,0,4
1,19,1,0,0,0,635,112,2.1333334,1.9333313,2.0589473,.58791006,0,0,1,0,0,0,0,1,0,0,4.0666647
0,42,0,0,0,0,652,135,0,0,2.0215476,-.48751235,1,0,0,0,0,0,0,0,0,0,0
0,50,0,0,0,0,655,157,0,0,2.4765379,-.601919,0,0,0,0,0,1,0,0,0,1,0
1,59,1,0,0,0,671,86,.11111094,4.0222182,2.3025851,.015876854,0,0,0,0,1,0,0,0,0,1,4.1333294
1,26,1,0,1,0,712,49,2.6444418,2.6666667,2.8156736,-2.2493746,1,0,0,0,0,0,0,0,0,1,5.3111086
0,71,0,0,0,0,730,143,0,0,1.9139769,.084520839,0,0,0,0,0,0,0,0,0,1,0
1,84,0,0,0,1,743,166,0,0,2.2192032,.17604615,0,0,0,0,0,0,0,0,0,0,0
0,54,1,0,0,0,766,112,0,4.5999999,2.7154303,.99977392,0,0,0,0,0,0,1,0,1,0,4.5999999
0,39,1,0,0,0,781,129,0,4.4166627,2.154665,.17604615,1,0,0,0,0,0,0,0,0,1,4.4166627
1,37,0,0,1,0,784,66,0,0,2.2763002,-.71632564,0,0,0,0,0,0,0,0,0,1,0
1,69,1,0,0,0,785,79,0,2.7,1.798607,-.35022438,0,0,0,0,0,1,0,1,0,0,2.7
0,47,0,0,0,0,796,160,1.05,0,2.0347054,0,0,0,0,0,0,0,0,0,0,0,1.05
1,81,0,0,0,0,810,132,0,0,1.9278916,0,0,0,0,0,0,0,0,0,0,1,0
0,16,0,0,0,0,816,154,0,0,2.5136559,-.62480032,0,0,0,0,0,0,0,0,1,0,0
1,50,0,0,0,0,824,137,0,0,2.4544475,-.601919,0,1,0,0,0,0,0,0,0,0,0
1,44,1,0,0,0,829,94,0,4.0999999,1.6937791,-.14429244,1,0,0,0,0,0,0,0,0,0,4.0999999
0,49,0,0,1,0,843,118,0,1.5,2.0294628,.31333411,0,0,0,0,0,1,0,1,0,0,1.5
1,58,0,0,0,0,850,154,0,0,2.0794415,.015876854,0,1,0,0,0,0,0,1,0,0,0
1,35,0,0,0,0,851,142,0,.86666667,2.3933392,-.85361362,0,0,0,0,1,0,0,0,1,0,.86666667
1,50,0,0,0,0,861,73,0,3.4333334,1.5597236,.74807936,0,0,0,0,0,0,1,1,0,0,3.4333334
0,4,0,0,0,1,871,61,0,0,2.1252511,-1.4485281,0,0,0,0,0,0,0,0,0,1,0
1,65,0,0,1,0,874,154,0,1.3999979,2.4849067,-1.0824269,0,0,0,0,1,0,0,0,1,0,1.3999979
1,98,1,0,1,0,877,139,0,4.1999998,2.6567569,-.55615634,0,1,0,0,0,0,0,0,0,1,4.1999998
1,71,0,0,0,1,880,112,0,0,2.0175312,-.48751235,1,0,0,0,0,0,0,0,0,0,0
0,90,0,0,0,0,887,158,0,.7555536,.76571792,1.3201125,0,0,0,0,1,0,0,0,0,1,.7555536
1,32,0,0,0,0,894,46,0,0,1.8809903,-.69344431,1,0,0,0,0,0,0,1,0,0,0
1,91,0,0,0,1,939,113,0,.2,2.1575587,-.64768165,0,0,0,0,0,0,0,0,0,0,.2
1,18,0,0,0,0,954,122,0,0,1.6351051,-1.2425961,1,0,0,0,0,0,0,0,0,0,0
0,49,0,0,0,0,955,61,1.3666667,0,1.7533083,-.48751235,1,0,0,0,0,0,0,0,0,1,1.3666667
1,50,0,0,0,0,960,77,0,0,1.3862944,-.51039368,0,1,0,0,0,0,0,0,0,0,0
0,51,0,1,0,0,967,162,2.5999999,0,2.154665,.33621544,1,0,0,0,0,0,0,1,0,0,2.5999999
0,68,0,0,1,0,973,150,0,0,2.5087855,-.64768165,0,0,0,0,0,0,0,0,0,1,0
1,50,1,0,0,0,987,108,0,2.0999999,2.7880929,2.0294337,0,0,0,0,0,1,0,1,0,0,2.0999999
0,22,0,0,0,1,991,150,.60000002,0,2.3253245,-1.3570027,1,0,0,0,0,0,0,0,0,0,.60000002
1,53,0,0,0,0,992,54,0,0,1.9315211,1.0455366,0,1,0,0,0,0,0,0,0,0,0
0,67,0,1,0,0,997,124,2.4666667,0,2.4890642,0,0,0,0,0,0,1,0,0,1,0,2.4666667
0,4,0,0,1,0,1001,148,0,0,2.5257287,-2.4095438,0,0,0,0,0,0,0,0,0,1,0
1,66,0,0,0,0,1007,86,0,0,1.1225178,-.25869909,0,0,0,0,0,0,0,1,0,0,0
1,83,0,0,0,0,1009,142,0,0,1.7173949,.15316482,0,0,1,0,0,0,0,1,0,0,0
0,8,0,0,0,0,1013,155,0,0,2.3321435,-1.929036,0,0,0,0,0,0,0,1,0,0,0
0,76,1,0,0,1,1022,78,0,4.5,2.2310889,-.052767128,0,0,0,0,0,0,0,0,0,0,4.5
1,88,1,0,1,0,1059,148,0,5.0333333,2.3561258,0,0,1,0,0,0,0,0,0,0,1,5.0333333
0,35,0,0,0,0,1060,101,0,0,1.9490457,0,0,0,0,1,0,0,0,0,1,0,0
0,13,0,0,0,0,1062,151,.3999995,0,2.5474901,-.9680202,0,0,0,1,0,0,0,0,0,0,.3999995
0,91,1,0,0,0,1067,130,1.9333333,2.3333333,3.2573857,.77096063,0,0,0,0,0,0,0,0,0,0,4.2666664
1,99,1,0,0,0,1072,118,0,6.4000001,2.1972246,.77096063,1,0,0,0,0,0,0,0,0,1,6.4000001
1,96,1,0,0,0,1083,141,0,3.188884,2.5649493,1.1141806,0,0,0,0,0,0,0,0,0,1,3.188884
0,70,1,0,0,0,1087,162,0,4.3000002,2.4849067,1.0226552,0,0,0,0,0,0,0,0,1,0,4.3000002
0,50,0,0,1,0,1118,132,0,0,2.1800578,-2.5010691,0,0,0,0,0,0,0,0,0,1,0
0,29,1,0,0,0,1124,124,0,4.4111042,1.9401066,.31333411,0,0,0,0,1,0,0,1,0,0,4.4111042
0,36,0,0,0,0,1128,165,0,.17777748,2.8134108,-.23581775,0,0,0,0,1,0,0,0,1,0,.17777748
1,88,1,0,0,0,1134,117,0,4.6999998,2.4880772,.93112993,0,0,0,0,1,0,0,0,0,1,4.6999998
1,83,1,0,0,0,1149,113,.23333333,4,2.2823825,1.137062,0,0,1,0,0,0,0,1,0,0,4.2333331
0,20,0,0,0,0,1199,147,0,0,2.5257287,.26757145,0,0,0,0,0,0,0,0,1,0,0
1,80,1,0,0,0,1211,107,0,4.0999999,1.6094379,1.2285872,0,0,0,0,0,1,0,0,0,1,4.0999999
0,37,1,0,0,0,1226,124,0,4.8888836,2.4079456,-.62480032,0,0,0,1,0,0,0,0,0,1,4.8888836
1,49,0,0,0,0,1240,127,0,0,2.296479,-.44174969,0,0,0,0,0,0,0,0,1,0,0
0,3,0,0,0,0,1247,154,0,0,2.1459308,-.41886836,0,0,0,0,0,0,0,0,1,0,0
1,81,1,0,0,0,1276,49,0,4.4000001,1.8245488,.79384196,1,0,0,0,0,0,0,0,0,1,4.4000001
1,81,0,0,0,0,1282,116,0,7.2888794,1.8458267,.61079139,0,0,0,1,0,0,0,0,0,1,7.2888794
0,18,0,0,0,0,1314,148,0,0,2.5496342,-.16717376,0,0,0,0,1,0,0,0,0,1,0
1,70,0,0,0,0,1327,135,0,0,1.7491999,.9082486,0,1,0,0,0,0,0,1,0,0,0
1,87,0,0,0,0,1332,144,0,0,2.0149031,-.67056298,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1340,110,0,0,1.6601307,-2.5468318,0,1,0,0,0,0,0,0,1,0,0
1,98,1,0,0,0,1352,109,0,6.5999961,2.2072749,.47350341,1,0,0,0,0,0,0,0,0,1,6.5999961
1,26,0,0,0,0,1377,142,0,0,1.9851309,-.83073229,0,0,0,0,1,0,0,1,0,0,0
1,79,0,0,0,0,1380,46,0,3.5333333,2.0692861,.17604615,0,0,0,1,0,0,0,1,0,0,3.5333333
0,38,0,0,0,0,1381,138,0,2.5333333,1.3480728,.83960462,0,0,0,1,0,0,0,0,1,0,2.5333333
1,68,0,0,0,0,1388,101,0,0,1.3862944,.10740216,0,1,0,0,0,0,0,0,0,0,0
0,57,0,0,0,0,1399,155,0,0,2.2310889,-.46463102,0,0,1,0,0,0,0,0,0,1,0
0,55,1,0,0,0,1403,138,0,4.5555482,2.2512918,.93112993,0,0,0,0,0,0,1,0,1,0,4.5555482
1,75,0,0,0,0,1407,119,1.7111084,0,1.5040774,.45062208,0,0,0,0,0,0,1,0,1,0,1.7111084
1,78,0,0,0,0,1412,155,2.2,0,1.8328974,.17604615,0,0,0,0,0,0,0,0,0,1,2.2
1,82,0,0,0,0,1416,151,0,1.2666667,1.3350009,1.0455366,1,0,0,0,0,0,0,0,1,0,1.2666667
0,70,1,0,0,0,1436,145,0,4.2666669,2.7999878,1.4345192,0,0,0,0,1,0,0,0,0,0,4.2666669
1,36,0,0,0,0,1439,136,0,0,2.1594844,.06163951,1,0,0,0,0,0,0,1,0,0,0
0,36,0,0,0,0,1508,97,0,0,2.4079456,-.80785096,0,0,0,0,0,0,0,0,1,0,0
1,88,1,0,0,0,1518,146,0,6,2.5649493,.99977392,0,0,0,0,0,0,0,0,0,0,6
0,35,0,0,0,0,1538,161,1.3,.63333333,1.792529,.61079139,0,1,0,0,0,0,0,0,0,1,1.9333333
1,80,0,0,0,1,1539,143,0,0,2.4454446,-1.0137829,0,0,0,0,1,0,0,0,0,0,0
1,68,0,0,0,0,1541,164,0,0,2.2570231,.038758181,1,0,0,0,0,0,0,0,0,0,0
1,86,0,0,0,0,1553,149,0,.51111042,2.6270812,-.25869909,0,0,0,0,0,0,0,0,1,0,.51111042
0,27,0,0,0,0,1577,166,0,0,2.5649493,-.89937621,1,0,0,0,0,0,0,0,1,0,0
1,44,0,0,0,0,1586,60,0,0,1.2527629,-1.5171721,0,0,0,0,1,0,0,0,1,0,0
1,92,1,0,1,0,1588,84,0,4.8000002,1.7715563,.51926607,1,0,0,0,0,0,0,0,0,1,4.8000002
1,51,1,0,1,0,1598,163,0,4.6444383,1.9906102,-1.1053082,0,0,0,1,0,0,0,0,0,1,4.6444383
0,37,0,1,0,0,1599,111,0,4.577775,2.0512707,-.48751235,1,0,0,0,0,0,0,1,0,0,4.577775
0,36,1,0,0,0,1613,127,0,4.3333335,2.5964479,-.098529786,0,0,1,0,0,0,0,0,0,1,4.3333335
0,38,0,0,0,0,1624,157,0,0,2.0149031,-.21293642,0,0,0,1,0,0,0,0,1,0,0
0,71,0,0,0,0,1629,162,.13333334,0,2.1392918,0,1,0,0,0,0,0,0,1,0,0,.13333334
0,53,0,0,0,0,1640,135,2.3333304,.89999896,2.3586745,-.14429244,0,1,0,0,0,0,0,0,1,0,3.2333293
1,79,1,0,0,0,1661,109,0,4.1999998,2.6498156,.61079139,1,0,0,0,0,0,0,1,0,0,4.1999998
1,99,0,0,0,0,1667,56,0,5.8333335,2.1611085,1.5031631,0,0,0,0,1,0,0,0,1,0,5.8333335
0,21,0,0,0,0,1676,153,0,0,1.658228,-1.0366642,0,0,0,0,0,0,0,0,0,1,0
0,65,1,0,0,0,1679,118,0,4.3000002,1.8718022,.5421474,1,0,0,0,0,0,0,0,0,1,4.3000002
0,95,0,0,0,0,1695,161,0,0,2.3754225,.9082486,1,0,0,0,0,0,0,0,0,0,0
1,54,0,0,0,0,1710,150,0,0,2.0794415,.35909677,0,1,0,0,0,0,0,0,1,0,0
0,40,0,0,1,0,1723,146,0,0,2.2554927,-1.0137829,0,1,0,0,0,0,0,1,0,0,0
0,40,1,0,0,0,1724,109,0,4.1999998,2.0794415,.81672329,0,1,0,0,0,0,0,1,0,0,4.1999998
0,88,1,0,0,0,1728,101,.56666666,5.2666669,2.2353764,1.6404511,1,0,0,0,0,0,0,0,1,0,5.8333335
0,25,0,0,0,0,1730,85,0,0,2.0281479,1.2057059,0,0,0,0,0,0,0,0,1,0,0
1,58,0,0,0,0,1735,137,0,.40000001,2.3589649,.15316482,0,0,0,0,0,0,0,1,0,0,.40000001
0,42,1,0,0,0,1744,131,0,2.8666625,2.8266559,.40485942,1,0,0,0,0,0,0,1,0,0,2.8666625
0,98,1,0,0,0,1799,47,2.6666667,3.777771,2.5417657,1.0226552,0,0,0,0,0,0,1,0,0,0,6.444438
0,61,0,0,0,0,1801,160,0,0,2.1352115,-1.860392,1,0,0,0,0,0,0,1,0,0,0
1,42,0,0,1,0,1813,142,0,0,1.8401206,-1.4485281,0,0,0,1,0,0,0,0,1,0,0
1,40,0,0,0,0,1830,159,0,0,2.9444389,.015876854,0,0,0,0,0,0,1,1,0,0,0
0,11,0,0,0,0,1847,162,0,0,1.9712989,-.28158039,0,0,0,1,0,0,0,0,1,0,0
1,92,0,0,0,0,1848,66,.95555472,1.3666662,2.1459308,.58791006,0,0,0,0,0,0,0,0,0,0,2.3222208
0,98,1,0,0,0,1851,122,2.5666666,2.4333334,3.4657359,.81672329,0,0,0,0,1,0,0,0,0,1,5
1,17,0,0,0,0,1853,155,0,0,1.7533083,-1.3798841,1,0,0,0,0,0,0,0,0,1,0
1,88,1,0,0,0,1864,114,0,4.2333331,1.7491999,.7023167,0,0,0,0,0,1,0,1,0,0,4.2333331
0,74,0,0,0,0,1865,137,0,2.0333333,2.2905123,.7023167,0,0,0,0,0,0,0,0,1,0,2.0333333
0,10,0,0,0,0,1866,152,1.1,0,2.5902672,-1.0824269,0,1,0,0,0,0,0,0,0,1,1.1
1,90,0,0,0,0,1915,161,0,0,1.7613002,.86248595,0,1,0,0,0,0,0,0,1,0,0
1,50,0,1,0,0,1919,162,2.0999999,0,2.1068406,.35909677,0,0,1,0,0,0,0,1,0,0,2.0999999
1,81,1,0,0,0,1923,116,0,4.177773,2.3978953,.65655404,1,0,0,0,0,0,0,0,0,1,4.177773
0,23,0,0,0,0,1924,161,0,0,1.8718022,-.48751235,1,0,0,0,0,0,0,0,1,0,0
1,65,0,0,0,0,1925,106,0,5.2666626,2.9065366,.93112993,1,0,0,0,0,0,0,1,0,0,5.2666626
0,61,1,0,0,0,1928,142,0,5.0555544,3.0602708,.58791006,0,0,0,1,0,0,0,1,0,0,5.0555544
1,87,0,1,0,0,1935,148,2.5999999,0,2.285778,1.4574004,0,0,0,0,0,0,1,0,1,0,2.5999999
0,73,0,0,0,0,1937,165,0,2.8888855,1.8586688,.67943537,0,0,0,0,1,0,0,0,1,0,2.8888855
0,19,0,0,0,0,1943,161,0,0,1.5368673,-.35022438,1,0,0,0,0,0,0,0,1,0,0
0,44,0,0,0,0,1963,163,.42222163,0,2.7170188,-.32734305,0,0,0,0,0,0,0,0,1,0,.42222163
1,57,0,0,0,0,1966,67,0,0,1.648658,-.78496963,1,0,0,0,0,0,0,0,1,0,0
1,32,0,0,0,0,1973,87,0,0,2.1729162,.31333411,1,0,0,0,0,0,0,1,0,0,0
0,83,0,0,0,0,1979,109,0,5.9111085,2.9067848,1.1599432,0,1,0,0,0,0,0,0,1,0,5.9111085
1,43,0,0,0,0,1985,9,.88888752,0,1.3864194,.49638474,0,0,0,0,0,0,1,0,1,0,.88888752
1,62,0,0,0,0,1987,148,0,0,1.3225254,-1.5629348,0,0,0,0,0,0,0,0,0,1,0
1,27,0,0,0,0,1995,82,0,0,1.3143209,-1.723104,0,1,0,0,0,0,0,0,1,0,0
0,70,0,0,0,0,2004,160,1.3333313,5.7666645,2.7472708,.56502873,0,0,0,0,1,0,0,0,0,1,7.0999956
0,99,1,0,0,0,2005,128,0,5.3666625,2.9927516,1.9607897,1,0,0,0,0,0,0,0,1,0,5.3666625
0,8,0,0,0,0,2007,101,0,0,3.204704,-1.791748,0,0,0,1,0,0,0,0,0,1,0
0,32,0,0,0,0,2015,83,0,0,2.2512918,-.89937621,0,0,0,0,0,0,1,0,1,0,0
0,65,1,0,0,0,2028,155,0,4.5666666,2.9957323,1.4345192,0,0,0,0,0,0,0,1,0,0,4.5666666
1,91,0,0,0,0,2051,151,0,2.8,2.6390574,1.1828245,0,0,0,0,0,0,0,0,0,1,2.8
0,50,0,0,0,0,2059,151,0,.61111045,1.4552872,0,0,0,0,0,0,0,0,0,1,0,.61111045
0,55,0,0,0,0,2060,146,0,0,2.5257287,0,0,0,0,1,0,0,0,0,1,0,0
1,98,1,0,0,0,2081,93,0,7.0055542,2.1814642,1.8463831,1,0,0,0,0,0,0,0,1,0,7.0055542
1,68,1,0,0,0,2082,123,0,4.3333273,2.244956,-.0070044738,0,0,0,0,0,0,0,0,0,1,4.3333273
0,37,0,0,0,0,2090,158,0,0,1.7361416,0,0,1,0,0,0,0,0,0,0,0,0
1,68,1,0,1,0,2092,66,1.4222207,1.6444417,2.3025851,-1.4027654,0,0,0,0,1,0,0,0,0,1,3.0666623
0,73,0,0,1,0,2095,131,0,7.5,2.7370481,.47350341,0,0,0,1,0,0,0,0,0,1,7.5
0,26,0,0,0,0,2102,148,0,0,2.8079686,.06163951,0,0,0,1,0,0,0,0,1,0,0
0,83,1,0,0,0,2104,104,0,4.5777712,2.4769385,.83960462,0,0,0,1,0,0,0,0,0,1,4.5777712
1,82,0,0,0,0,2130,161,0,0,1.4327004,.65655404,0,0,0,0,0,0,0,0,1,0,0
0,85,1,0,0,0,2140,142,0,4.3788819,2.2178438,.038758181,0,0,0,1,0,0,0,0,1,0,4.3788819
1,45,0,0,0,0,2144,55,0,0,1.7578578,.42774075,0,0,0,0,1,0,0,0,1,0,0
1,72,1,0,1,0,2147,146,0,4.0999999,1.5475619,.5421474,0,0,0,0,1,0,0,0,0,1,4.0999999
1,96,0,0,0,0,2156,90,0,7.5,2.8903718,1.3658751,1,0,0,0,0,0,0,0,1,0,7.5
1,95,1,0,0,0,2171,137,0,5.0888834,1.7647308,-.052767128,1,0,0,0,0,0,0,0,0,1,5.0888834
0,32,1,0,0,0,2192,149,0,6.1133299,.57536417,-.67056298,0,0,1,0,0,0,0,1,0,0,6.1133299
1,76,1,0,0,0,2208,83,0,4.6999998,1.446919,1.3658751,0,0,0,0,0,0,0,1,0,0,4.6999998
0,67,0,0,0,0,2223,162,0,0,2.7954502,.29045278,1,0,0,0,0,0,0,0,0,1,0
1,20,0,0,0,0,2271,132,0,1.1,2.10748,0,0,0,0,1,0,0,0,0,0,1,1.1
1,36,0,0,0,0,2279,108,1.8666667,3.4000001,2.7175291,.72519803,0,0,0,0,1,0,0,1,0,0,5.2666669
1,83,0,0,0,0,2288,103,0,.17777748,2.5257287,0,1,0,0,0,0,0,0,0,1,0,.17777748
0,37,0,0,1,0,2291,64,1.6666666,0,2.1400661,-1.7688667,0,0,0,1,0,0,0,1,0,0,1.6666666
1,79,1,0,0,0,2309,44,0,3.6333334,1.9809285,-.12141111,0,1,0,0,0,0,0,1,0,0,3.6333334
0,60,0,0,0,0,2330,119,0,0,2.461895,-.075648457,1,0,0,0,0,0,0,0,1,0,0
1,5,0,0,0,1,2334,27,0,0,1.3456614,-.89937621,1,0,0,0,0,0,0,0,0,0,0
1,81,1,0,0,0,2336,107,0,4.9666667,2.0706728,-.71632564,1,0,0,0,0,0,0,0,0,0,4.9666667
0,31,0,0,1,0,2339,93,0,0,1.6724126,0,1,0,0,0,0,0,0,0,0,1,0
0,75,0,0,0,0,2341,122,0,0,2.9957323,-1.1968335,0,0,0,0,0,0,0,1,0,0,0
1,24,0,0,0,0,2348,160,0,0,2.6310892,.40485942,0,1,0,0,0,0,0,1,0,0,0
0,74,1,0,0,0,2355,120,0,4.5666666,2.1181815,.40485942,0,0,1,0,0,0,0,0,0,0,4.5666666
1,2,0,0,0,0,2363,97,0,0,1.9254905,0,0,0,0,1,0,0,0,1,0,0,0
0,10,0,0,0,0,2365,149,0,0,2.3859668,-.55615634,1,0,0,0,0,0,0,1,0,0,0
1,50,0,1,0,1,2368,87,2.9000001,0,1.9147558,-.89937621,0,1,0,0,0,0,0,0,0,1,2.9000001
0,50,0,0,1,0,2394,155,0,0,2.0693913,-2.4781878,0,0,0,1,0,0,0,0,1,0,0
0,93,0,0,0,0,2406,115,0,7.5,1.7429693,1.6175698,0,0,0,0,1,0,0,1,0,0,7.5
0,95,1,0,0,0,2408,96,0,3.9666667,2.3025851,.72519803,0,0,0,0,1,0,0,0,0,1,3.9666667
1,41,0,0,0,0,2433,106,0,0,1.8144799,1.0455366,0,0,0,0,0,0,0,0,1,0,0
1,50,1,0,1,0,2436,51,0,4.9666667,2.6831656,-.19005509,0,0,0,0,0,0,0,0,0,1,4.9666667
1,72,0,0,0,0,2440,165,0,0,2.1848021,-.83073229,1,0,0,0,0,0,0,1,0,0,0
1,70,0,0,0,0,2460,105,0,0,1.6885134,.15316482,0,0,0,0,0,1,0,0,0,0,0
0,87,0,0,0,0,2466,120,0,7.2666669,2.7606106,0,0,0,0,0,0,0,1,1,0,0,7.2666669
1,50,0,0,1,0,2468,86,2.2222188,.48888958,1.6638211,-1.1281896,0,0,0,1,0,0,0,0,1,0,2.7111082
0,12,0,0,0,0,2482,157,0,0,2.460443,-.85361362,0,0,0,0,0,0,0,0,1,0,0
1,59,0,0,0,0,2490,75,0,5.8333335,2.2027647,.26757145,1,0,0,0,0,0,0,0,0,1,5.8333335
0,4,0,0,0,0,2491,135,0,1.9,2.3025851,-.41886836,1,0,0,0,0,0,0,0,0,0,1.9
0,50,0,0,0,0,2495,149,.43333334,0,1.8718022,-.53327501,0,0,1,0,0,0,0,0,0,0,.43333334
1,80,1,0,1,0,2496,84,0,6.8000002,1.8632184,-.23581775,1,0,0,0,0,0,0,0,0,1,6.8000002
0,54,1,0,0,0,2503,106,0,4.9666667,2.3655598,1.0455366,0,0,0,1,0,0,0,1,0,0,4.9666667
1,23,0,0,0,0,2512,30,0,0,1.2383739,-1.1510708,0,0,0,0,0,0,0,0,1,0,0
1,95,0,0,0,0,2515,119,0,6.0333333,2.3364866,1.2285872,0,1,0,0,0,0,0,0,0,1,6.0333333
1,39,0,0,0,0,2518,160,.2,0,2.2695453,-.39598703,0,1,0,0,0,0,0,1,0,0,.2
1,50,1,0,0,0,2534,151,.1,3.7,3.1836195,.97689259,1,0,0,0,0,0,0,0,0,0,3.8
0,53,0,0,0,0,2545,143,0,0,2.6973262,.06163951,0,1,0,0,0,0,0,1,0,0,0
1,98,0,0,0,0,2548,105,0,5.3333335,2.2801123,1.3658751,0,0,0,0,0,0,0,0,0,1,5.3333335
1,78,1,0,0,0,2559,137,0,4.0444398,2.0794415,0,0,0,0,0,0,1,0,0,1,0,4.0444398
0,91,0,0,0,0,2566,140,0,6.3000002,2.6798792,1.0455366,0,0,0,0,0,0,0,0,1,0,6.3000002
0,10,0,0,0,0,2572,152,0,0,2.4292176,-1.8832734,0,0,0,0,0,1,0,0,1,0,0
1,57,0,0,0,0,2592,125,0,0,1.9459101,0,1,0,0,0,0,0,0,0,0,0,0
0,73,1,0,0,0,2601,113,0,4.4333334,1.9844201,1.1599432,1,0,0,0,0,0,0,0,0,0,4.4333334
1,24,0,1,0,0,2614,18,2.2666667,0,1.2089599,-1.1510708,1,0,0,0,0,0,0,0,1,0,2.2666667
1,77,0,0,0,0,2628,126,.46666667,1.6333333,2.7319558,1.0684179,0,0,1,0,0,0,0,0,1,0,2.0999999
0,85,1,0,0,0,2665,134,0,4.399992,2.5839975,.15316482,0,0,1,0,0,0,0,0,0,1,4.399992
0,50,0,0,0,0,2675,78,0,5.4888792,2.9957323,.93112993,0,1,0,0,0,0,0,0,0,0,5.4888792
0,39,0,0,0,0,2685,162,0,0,2.6602592,.22180881,1,0,0,0,0,0,0,1,0,0,0
1,50,1,0,0,0,2693,26,2.2333333,2.1333334,1.9972035,-.51039368,1,0,0,0,0,0,0,0,0,1,4.3666668
