x,y
"-40,87638","-86,59838"
"-4,207036","-113,8782"
"-28,01176","-89,18534"
"4,179671","-96,80391"
"-9,895069","-80,95526"
"-58,84783","-88,26286"
"-18,89937","-105,6535"
"-8,542509","-93,3299"
"-22,74029","-125,6252"
"-11,07672","-93,74777"
"-51,54559","-108,1083"
"-50,48868","-127,1332"
"-25,76421","-120,1608"
"-22,48604","-102,2234"
"11,02006","-101,4792"
"-15,22187","-80,4376"
"-8,494002","-111,8912"
"-35,72037","-80,27953"
"-20,96853","-103,6024"
"-19,22525","-112,4003"
"-27,74767","-68,21942"
"-12,00203","-47,37008"
"-31,15821","-76,95436"
"-22,20553","-101,0904"
"-24,89572","-89,35163"
"6,031991","-59,66208"
"-32,16205","-90,56124"
"-17,85831","-103,1593"
"-58,99833","-93,90048"
"-42,17537","-118,004"
"-68,83681","71,7332"
"-60,06066","85,20349"
"-5,657029","63,98313"
"-26,83014","29,10932"
"-36,3919","90,408"
"-77,39474","79,05395"
"-37,21573","70,72638"
"-52,487","77,9786"
"-44,06985","60,66769"
"-46,56383","55,95616"
"-74,15343","115,7862"
"-39,85986","71,25236"
"-59,31176","23,92028"
"-65,3261","39,97043"
"-36,82984","85,9971"
"-46,49127","57,10598"
"-69,94698","60,42935"
"-49,86154","41,02792"
"-25,96653","71,27157"
"-57,38348","39,61915"
"-54,83006","66,71229"
"-50,37481","74,14524"
"-31,99631","112,8744"
"-42,02202","70,84385"
"-13,51507","56,71743"
"-32,87332","46,72214"
"-53,00384","55,01818"
"-43,46319","85,28936"
"-22,35295","24,93956"
"-10,25694","44,89768"
"-57,26222","32,67943"
"-49,44744","41,32807"
"-43,86998","96,81354"
"-45,32369","33,68762"
"-63,63803","59,39043"
"136,8498","194,863"
"136,0179","135,9366"
"165,6064","156,8796"
"83,08835","143,3732"
"132,175","151,9897"
"107,7197","153,9899"
"104,3509","154,268"
"139,7537","148,3353"
"100,0516","165,5406"
"111,5404","156,4882"
"113,2492","144,8895"
"125,2361","124,007"
"135,8559","157,0389"
"118,8167","164,367"
"131,4999","203,9366"
"104,9561","172,1338"
"162,7746","148,542"
"141,105","134,5746"
"103,8858","137,1478"
"102,3434","172,0786"
"136,0621","161,1962"
"152,559","140,6622"
"136,65","162,4731"
"82,24725","152,4874"
"108,6875","207,5275"
"105,3119","143,1005"
"123,8856","144,6195"
"145,4113","196,8178"
"156,3846","149,2896"
"132,9185","173,795"
"130,3195","127,3813"
"139,5226","159,3706"
"120,7502","154,2178"
"97,30603","165,1282"
"102,2452","133,682"
"139,2752","198,317"
"140,7253","148,3403"
"90,87184","168,4164"
"100,3872","170,7895"
"114,7857","151,8581"
"106,6423","198,3967"
"100,5403","181,4824"
"133,1356","155,1993"
"106,8604","162,6123"
"129,7118","164,6559"
"160,669","44,12881"
"153,917","23,97272"
"170,0969","39,834"
"176,697","18,15805"
"189,6873","-8,254072"
"179,7402","38,38289"
"204,4525","45,15301"
"190,4574","17,40867"
"184,6598","26,78725"
"194,7435","52,34893"
"224,6384","-31,63424"
"172,6788","20,70196"
"145,4253","9,660676"
"199,3117","56,47535"
"164,2983","22,28456"
"151,4253","5,509587"
"142,3011","12,91319"
"165,9602","17,08626"
"148,465","13,84202"
"204,697","25,27197"
"224,4443","20,28834"
"214,7987","11,2127"
"188,0234","10,50271"
"166,2026","31,45347"
"175,2789","26,90638"
"188,4642","10,2312"
"225,8343","29,69311"
"179,1396","30,6294"
"180,999","-0,181257"
"188,1753","29,89646"
"178,0178","2,854449"
"180,4211","25,98433"
"189,2806","-4,411929"
"174,8745","20,2127"
"197,93","39,69226"
"181,4683","5,231682"
"144,2053","23,49178"
"172,0008","-9,879007"
"159,3218","20,23065"
"172,1595","39,84524"
"178,395","-11,3952"
"199,6047","36,14588"
"159,2765","25,83488"
"227,497","15,488"
"183,1602","24,89644"
"149,5141","0,702623"
"169,4963","13,02321"
"161,6097","32,52621"
"194,2834","6,644153"
"173,9845","-9,647894"
"197,372","57,23704"
"145,1302","19,2725"
"181,6389","40,34155"
"215,0951","-34,69211"
"197,9611","31,87308"
"201,5659","32,63397"
"171,0665","-7,328668"
"50,27262","-166,9572"
"66,52097","-135,6006"
"58,96007","-132,4451"
"73,5956","-132,8455"
"51,60352","-132,6526"
"55,00788","-157,8992"
"86,31748","-123,6873"
"28,24299","-147,9047"
"30,95888","-156,0098"
"53,99042","-154,3826"
"54,74723","-129,2271"
"27,74251","-107,8887"
"67,7908","-156,5046"
"53,10906","-125,9004"
"67,59535","-158,0336"
"52,82391","-138,1409"
"51,85996","-162,365"
"52,84815","-191,784"
"38,65768","-143,2938"
"54,08085","-152,9115"
"57,99621","-102,2442"
"48,09415","-162,2827"
"83,3996","-135,639"
"56,23307","-138,6112"
"10,72608","-206,3654"
"31,27413","-160,6855"
"67,3805","-159,6422"
"27,92582","-175,7398"
"64,69613","-169,0423"
"14,46246","-144,1738"
"46,64745","-151,8282"
"51,57452","-97,32114"
"45,35715","-139,4658"
"50,44506","-145,575"
"26,41559","-173,0122"
"47,4546","-168,2249"
"29,7722","-148,2525"
"31,20532","-171,0542"
"67,67443","-134,608"
"62,90858","-160,2351"
"58,64509","-161,7207"
"55,74661","-119,0229"
"82,95185","-148,7507"
"62,81102","-148,1927"
"74,02277","-146,8386"
"67,14974","-186,7636"
"41,70843","-177,0075"
"61,24444","-145,143"
"60,05773","-103,3277"
"77,73689","-149,5414"
"53,24515","-131,1577"
"474,5354","487,9546"
"349,903","401,9713"
"349,9074","297,2854"
"373,8703","384,302"
"467,9174","440,4246"
"503,6779","453,4438"
"310,2335","308,8279"
"361,9448","402,975"
"354,5842","358,5781"
"457,7667","435,4962"
"361,5062","327,9387"
"358,3461","353,0334"
"417,767","464,3362"
"407,0913","358,7345"
"461,02","423,5116"
"495,6914","472,6167"
"307,7517","363,5918"
"413,7891","381,1242"
"451,8655","431,1124"
"429,8779","436,4311"
"391,8281","377,3866"
"332,4797","364,1207"
"391,1527","325,2738"
"471,1384","451,0811"
"375,9183","359,7838"
"352,775","328,3336"
"369,5013","377,3216"
"433,3735","468,3581"
"328,6077","400,609"
"400,8321","381,6002"
"350,9716","296,5492"
"351,6428","383,4529"
"432,0417","447,1475"
"324,1841","332,4244"
"384,3509","416,8607"
"326,4165","333,8102"
"374,7065","376,1855"
"396,0038","428,6131"
"455,3178","414,2771"
"385,196","397,4751"
"383,8471","364,0784"
"467,3167","439,3647"
"536,689","556,2166"
"273,8243","267,4313"
"397,1147","396,5838"
"407,739","477,7752"
"336,6245","392,3693"
"396,414","378,8031"
"338,6416","312,7308"
"413,8818","387,226"
"434,8613","416,2193"
"411,4905","458,9212"
"424,1714","408,9439"
"419,289","358,3081"
"318,7171","348,9539"
"386,2668","363,1398"
"449,0883","440,8983"
"395,8193","381,2755"
"379,0972","312,9869"
"529,3216","473,2562"
"317,7015","353,6643"
"348,5091","381,0023"
"489,0137","450,4288"
"372,4355","335,2546"
"402,8295","439,104"
"539,7016","474,3619"
"415,3106","440,8202"
"375,8025","432,7586"
"462,0658","398,0465"
"353,4865","303,3631"
"377,3439","407,2027"
"357,1198","393,8457"
"403,7728","399,3612"
"327,3657","311,0272"
"457,2295","440,0713"
"478,8118","441,1745"
"336,6649","291,6038"
"339,5512","383,7617"
"451,0233","408,7007"
"352,6071","355,9179"
"460,4336","498,9351"
"313,387","353,6153"
"463,4137","462,3237"
"369,4454","393,0469"
"400,0054","415,3734"
"393,4153","376,0711"
"425,2755","404,8833"
"483,2744","462,3963"
"411,7356","430,4048"
"465,0912","489,3731"
"456,5376","422,3604"
"433,2278","436,6117"
"493,7606","481,3924"
"414,6445","397,7398"
"569,171","499,6397"
"338,2815","330,4039"
"384,4595","359,2065"
"397,8733","373,7502"
"432,9814","485,5067"
